Location,Name,Position,Place
Buckingham,Calvin S. Spencer Jr.,Chief Judge,General District Court
Buckingham,Jody H. Fariss,,General District Court
Buckingham,Darrel W. Puckett,,General District Court
Buckingham,,,General District Court
Buena Vista,Robin J. Mayer,Presiding Judge,General District Court
Buena Vista,William Harrison Cleaveland,Chief Judge,General District Court
Buena Vista,Christopher M. Billias,,General District Court
Buena Vista,Rupen R. Shah,,General District Court
Buena Vista,,,General District Court
Buena Vista,,,General District Court
Campbell ,Stephanie S. Maddox,Presiding Judge,General District Court
Campbell ,Sam Daniel Eggleston,Chief Judge,General District Court
Campbell ,Randy C. Krantz,,General District Court
Campbell ,,,General District Court
Campbell ,,,General District Court
Campbell ,,,General District Court
Caroline ,Robert Eric Reibach,Presiding Judge,General District Court
Caroline ,John S. Martin,Chief Judge,General District Court
Caroline ,David B. Caddell Jr.,,General District Court
Caroline ,Hugh S. Campbell,,General District Court
Caroline ,Richard T. McGrath,,General District Court
Caroline ,Angela M. O'Connor,,General District Court
Caroline ,Jane M. Reynolds,,General District Court
Caroline ,,,General District Court
Caroline ,,,General District Court
Caroline ,,,General District Court
Caroline ,,,General District Court
Carroll ,Gerald Eugene Mabe II,Presiding Judge,General District Court
Carroll ,Gino W. Williams,Chief Judge,General District Court
Carroll ,J. D. Bolt,,General District Court
Carroll ,Erin J. DeHart,,General District Court
Carroll ,Randal J. Duncan,,General District Court
Carroll ,,,General District Court
Charles ,Colleen K. Killilea,Presiding Judge,General District Court
Charles ,Stephen Ashton Hudgins,Chief Judge,General District Court
Charles ,Stephanie E. Merritt,,General District Court
Charles ,,,General District Court
Charlotte ,Calvin S. Spencer Jr.,"Presiding Judge, Chief Judge",General District Court
Charlotte ,Jody H. Fariss,,General District Court
Charlotte ,Darrel W. Puckett,,General District Court
Charlotte ,,,General District Court
Charlottesville,Kenneth Andrew Sneathern,Presiding Judge,General District Court
Charlottesville,Claiborne H. Stokes Jr.,Chief Judge,General District Court
Charlottesville,Theresa W. Carter,,General District Court
Charlottesville,Matthew J. Quatrara,,General District Court
Charlottesville,,,General District Court
Charlottesville,,,General District Court
Chesapeake ,Erin L. Evans,Chief Judge,General District Court
Chesapeake ,Linda L. Bryant,,General District Court
Chesapeake ,Michael R. Katchmark,,General District Court
Chesapeake ,Tanya L. Lomax,,General District Court
Chesapeake ,,,General District Court
Chesterfield ,Matthew Donald Nelson,"Presiding Judge, Chief Judge",General District Court
Chesterfield ,Keith Nelson Hurley,Presiding Judge,General District Court
Chesterfield ,James J. O'Connell III,Presiding Judge,General District Court
Chesterfield ,Thomas L. Vaughn,Presiding Judge,General District Court
Chesterfield ,,,General District Court
Chesterfield ,,,General District Court
Clarke ,John Stanley Hart Jr.,Chief Judge,General District Court
Clarke ,Mary Louise Costello Daniel,,General District Court
Clarke ,W. Dale Houff,,General District Court
Clarke ,Amy B. Tisinger,,General District Court
Clarke ,,,General District Court
Clarke ,,,General District Court
Clarke ,,,General District Court
Clarke ,,,General District Court
Colonial Heights,Matthew Donald Nelson,"Presiding Judge, Chief Judge",General District Court
Colonial Heights,Keith Nelson Hurley,Presiding Judge,General District Court
Colonial Heights,James J. O'Connell III,Presiding Judge,General District Court
Colonial Heights,Thomas L. Vaughn,Presiding Judge,General District Court
Colonial Heights,,,General District Court
Colonial Heights,,,General District Court
Craig ,William Harrison Cleaveland,"Presiding Judge, Chief Judge",General District Court
Craig ,Christopher M. Billias,,General District Court
Craig ,Robin J. Mayer,,General District Court
Craig ,Rupen R. Shah,,General District Court
Craig ,,,General District Court
Craig ,,,General District Court
Culpeper ,Theresa W. Carter,Presiding Judge,General District Court
Culpeper ,Claiborne H. Stokes Jr.,Chief Judge,General District Court
Culpeper ,Matthew J. Quatrara,,General District Court
Culpeper ,Kenneth Andrew Sneathern,,General District Court
Culpeper ,,,General District Court
Culpeper ,,,General District Court
Cumberland ,Calvin S. Spencer Jr.,Chief Judge,General District Court
Cumberland ,Jody H. Fariss,,General District Court
Cumberland ,Darrel W. Puckett,,General District Court
Cumberland ,,,General District Court
Danville,George A. Jones Jr.,Chief Judge,General District Court
Danville,Robert L Adams Jr.,,General District Court
Danville,,,General District Court
Danville,,,General District Court
Dickenson ,George Robert Brittain,Chief Judge,General District Court
Dickenson ,Henry A. Barringer,,General District Court
Dickenson ,,,General District Court
Dickenson ,,,General District Court
Dickenson ,,,General District Court
Dinwiddie ,Ray P. Lupold III,Chief Judge,General District Court
Dinwiddie ,Kenneth A. Blalock,,General District Court
Dinwiddie ,Thomas Stark IV,,General District Court
Essex ,John S. Martin,"Presiding Judge, Chief Judge",General District Court
Essex ,David B. Caddell Jr.,,General District Court
Essex ,Hugh S. Campbell,,General District Court
Essex ,Richard T. McGrath,,General District Court
Essex ,Angela M. O'Connor,,General District Court
Essex ,Robert Eric Reibach,,General District Court
Essex ,Jane M. Reynolds,,General District Court
Essex ,,,General District Court
Essex ,,,General District Court
Essex ,,,General District Court
Essex ,,,General District Court
Fairfax ,Lisa A. Mayne,"Presiding Judge, Chief Judge",General District Court
Fairfax ,Harry Michael Cantrell,Presiding Judge,General District Court
Fairfax ,Manuel A. Capsalis,Presiding Judge,General District Court
Fairfax ,Michael Joseph Cassidy,Presiding Judge,General District Court
Fairfax ,Susan Friedlander Earman,Presiding Judge,General District Court
Fairfax ,Michael Joshua Lindner,Presiding Judge,General District Court
Fairfax ,William J. Minor Jr.,Presiding Judge,General District Court
Fairfax ,Gary H. Moliken,Presiding Judge,General District Court
Fairfax ,Mitchell I. Mutnick,Presiding Judge,General District Court
Fairfax ,Mark C. Simmons,Presiding Judge,General District Court
Fairfax ,Tina L. Snee,Presiding Judge,General District Court
Fairfax ,Susan J. Stoney,Presiding Judge,General District Court
Fairfax ,,,General District Court
Fairfax ,,,General District Court
Fauquier ,Deborah C. Welsh,Chief Judge,General District Court
Fauquier ,Jessica H. Foster,,General District Court
Fauquier ,Matthew Parke Snow,,General District Court
Fauquier ,Lorrie Ann Sinclair Taylor,,General District Court
Fauquier ,,,General District Court
Floyd ,Randal J. Duncan,Presiding Judge,General District Court
Floyd ,Gino W. Williams,Chief Judge,General District Court
Floyd ,J. D. Bolt,,General District Court
Floyd ,Erin J. DeHart,,General District Court
Floyd ,Gerald Eugene Mabe II,,General District Court
Floyd ,,,General District Court
Fluvanna ,Claiborne H. Stokes Jr.,Chiel Judge,General District Court
Fluvanna ,Theresa W. Carter,,General District Court
Fluvanna ,Matthew J. Quatrara,,General District Court
Fluvanna ,Kenneth Andrew Sneathern,,General District Court
Fluvanna ,,,General District Court
Fluvanna ,,,General District Court
Franklin ,George A. Jones Jr.,"Presiding Judge, Chief Judge",General District Court
Franklin ,Robert L Adams Jr.,,General District Court
Franklin ,,,General District Court
Franklin ,,,General District Court
Frederick ,John Stanley Hart Jr.,Chief Judge,General District Court
Frederick ,Mary Louise Costello Daniel,,General District Court
Frederick ,W. Dale Houff,,General District Court
Frederick ,Amy B. Tisinger,,General District Court
Frederick ,,,General District Court
Frederick ,,,General District Court
Frederick ,,,General District Court
Frederick ,,,General District Court
Fredericksburg ,John S. Martin,Chief Judge,General District Court
Fredericksburg ,David B. Caddell Jr.,,General District Court
Fredericksburg ,Hugh S. Campbell,,General District Court
Fredericksburg ,Richard T. McGrath,,General District Court
Fredericksburg ,Angela M. O'Connor,,General District Court
Fredericksburg ,Robert Eric Reibach,,General District Court
Fredericksburg ,Jane M. Reynolds,,General District Court
Fredericksburg ,,,General District Court
Fredericksburg ,,,General District Court
Fredericksburg ,,,General District Court
Fredericksburg ,,,General District Court
Giles ,Gino W. Williams,"Presiding Judge, Chief Judge",General District Court
Giles ,J. D. Bolt,,General District Court
Giles ,Erin J. DeHart,,General District Court
Giles ,Randal J. Duncan,,General District Court
Giles ,Gerald Eugene Mabe II,,General District Court
Giles ,,,General District Court
Gloucester,Stephanie E. Merritt,Presiding Judge,General District Court
Gloucester,Stephen Ashton Hudgins,Chief Judge,General District Court
Gloucester,Colleen K. Killilea,,General District Court
Gloucester,,,General District Court
Goochland,Claiborne H. Stokes Jr.,Chief Judge,General District Court
Goochland,Theresa W. Carter,,General District Court
Goochland,Matthew J. Quatrara,,General District Court
Goochland,Kenneth Andrew Sneathern,,General District Court
Goochland,,,General District Court
Goochland,,,General District Court
Grayson ,J. D. Bolt,Presiding Judge,General District Court
Grayson ,Gino W. Williams,Chief Judge,General District Court
Grayson ,Erin J. DeHart,,General District Court
Grayson ,Randal J. Duncan,,General District Court
Grayson ,Gerald Eugene Mabe II,,General District Court
Grayson ,,,General District Court
Greene ,Kenneth Andrew Sneathern,Presiding Judge,General District Court
Greene ,Claiborne H. Stokes Jr.,Chief Judge,General District Court
Greene ,Theresa W. Carter,,General District Court
Greene ,Matthew J. Quatrara,,General District Court
Greene ,,,General District Court
Greene ,,,General District Court
Greensville ,Bruce A. Clark Jr.,Chief Judge,General District Court
Greensville ,Churchill Ridley Bain,,General District Court
Greensville ,Elbert D. Mumphery,,General District Court
Greensville ,Lyndia P. Ramsey,,General District Court
Greensville ,Harold Lee Townsend III,,General District Court
Halifax ,Darrel W. Puckett,Presiding Judge,General District Court
Halifax ,Calvin S. Spencer Jr.,Chief Judge,General District Court
Halifax ,Jody H. Fariss,,General District Court
Halifax ,,,General District Court
Hampton,Selena Stellute Glenn,"Presiding Judge, Chief Judge",General District Court
Hampton,Tonya Henderson-Stith,Presiding Judge,General District Court
Hampton,Corry N. Smith,Presiding Judge,General District Court
Hanover ,Hugh S. Campbell,Presiding Judge,General District Court
Hanover ,John S. Martin,Chief Judge,General District Court
Hanover ,David B. Caddell Jr.,,General District Court
Hanover ,Richard T. McGrath,,General District Court
Hanover ,Angela M. O'Connor,,General District Court
Hanover ,Robert Eric Reibach,,General District Court
Hanover ,Jane M. Reynolds,,General District Court
Hanover ,,,General District Court
Hanover ,,,General District Court
Hanover ,,,General District Court
Hanover ,,,General District Court
Rockingham ,John Stanley Hart Jr.,"Presiding Judge, Chief Judge",General District Court
Rockingham ,Mary Louise Costello Daniel,,General District Court
Rockingham ,W. Dale Houff,,General District Court
Rockingham ,Amy B. Tisinger,,General District Court
Rockingham ,,,General District Court
Rockingham ,,,General District Court
Rockingham ,,,General District Court
Rockingham ,,,General District Court
Henrico ,John K. Honey Jr.,"Presiding Judge, Chief Judge",General District Court
Henrico ,Thomas O. Bondurant Jr.,Presiding Judge,General District Court
Henrico ,Lauren A. Caudill,Presiding Judge,General District Court
Henrico ,George Barton Chucker,Presiding Judge,General District Court
Henrico ,Bryan Craig Dunkum,Presiding Judge,General District Court
Henry ,James R. McGarry,Chief Judge,General District Court
Henry ,Joan Ziglar,,General District Court
Henry ,,,General District Court
Highland ,William Harrison Cleaveland,Chief Judge,General District Court
Highland ,Christopher M. Billias,,General District Court
Highland ,Robin J. Mayer,,General District Court
Highland ,Rupen R. Shah,,General District Court
Highland ,,,General District Court
Highland ,,,General District Court
Hopewell ,Bruce A. Clark Jr.,"Presiding Judge, Chief Judge",General District Court
Hopewell ,Elbert D. Mumphery,Presiding Judge,General District Court
Hopewell ,Churchill Ridley Bain,,General District Court
Hopewell ,Lyndia P. Ramsey,,General District Court
Hopewell ,Harold Lee Townsend III,,General District Court
Isle of Wight,Alfred W. Bates III,"Presiding Judge, Chief Judge",General District Court
Isle of Wight,Nicole A. Belote,Presiding Judge,General District Court
Isle of Wight,Helivi L. Holland,,General District Court
Isle of Wight,,,General District Court
James City County/Williamsburg,Colleen K. Killilea,Presiding Judge,General District Court
James City County/Williamsburg,Stephen Ashton Hudgins,Chief Judge,General District Court
James City County/Williamsburg,Stephanie E. Merritt,,General District Court
James City County/Williamsburg,,,General District Court
King George,David B. Caddell Jr.,Presiding Judge,General District Court
King George,Robert Eric Reibach,Presiding Judge,General District Court
King George,"John S. Martin, Chief Judge",,General District Court
King George,Hugh S. Campbell,,General District Court
King George,Richard T. McGrath,,General District Court
King George,Angela M. O'Connor,,General District Court
King George,Jane M. Reynolds,,General District Court
King George,,,General District Court
King George,,,General District Court
King George,,,General District Court
King George,,,General District Court
King William,Stephen Ashton Hudgins,Chief Judge,General District Court
King William,Colleen K. Killilea,,General District Court
King William,Stephanie E. Merritt,,General District Court
King William,,,General District Court
King and Queen,Stephen Ashton Hudgins,Chief Judge,General District Court
King and Queen,Colleen K. Killilea,,General District Court
King and Queen,Stephanie E. Merritt,,General District Court
King and Queen,,,General District Court
Lancaster,John S. Martin,"Presiding Judge, Chief Judge",General District Court
Lancaster,David B. Caddell Jr.,,General District Court
Lancaster,Hugh S. Campbell,,General District Court
Lancaster,Richard T. McGrath,,General District Court
Lancaster,Angela M. O'Connor,,General District Court
Lancaster,Robert Eric Reibach,,General District Court
Lancaster,Jane M. Reynolds,,General District Court
Lancaster,,,General District Court
Lancaster,,,General District Court
Lancaster,,,General District Court
Lancaster,,,General District Court
Lee ,Shawn L Hines,Chief Judge,General District Court
Lee ,Andrew L. Johnson,,General District Court
Lee ,,,General District Court
Lee ,,,General District Court
Loudoun ,Matthew Parke Snow,Presiding Judge,General District Court
Loudoun ,Lorrie Ann Sinclair Taylor,Presiding Judge,General District Court
Loudoun ,Deborah C. Welsh,Chief Judge,General District Court
Loudoun ,Jessica H. Foster,,General District Court
Loudoun ,,,General District Court
Louisa ,Claiborne H. Stokes Jr.,Chief Judge,General District Court
Louisa ,Theresa W. Carter,,General District Court
Louisa ,Matthew J. Quatrara,,General District Court
Louisa ,Kenneth Andrew Sneathern,,General District Court
Louisa ,,,General District Court
Louisa ,,,General District Court
Lunenburg ,Calvin S. Spencer Jr.,Chief Judge,General District Court
Lunenburg ,Jody H. Fariss,,General District Court
Lunenburg ,Darrel W. Puckett,,General District Court
Lunenburg ,,,General District Court
Lynchburg ,Stephanie S. Maddox,Presiding Judge,General District Court
Lynchburg ,Sam Daniel Eggleston,Chief Judge,General District Court
Lynchburg ,Randy C. Krantz,,General District Court
Lynchburg ,,,General District Court
Lynchburg ,,,General District Court
Lynchburg ,,,General District Court
Madison ,Claiborne H. Stokes Jr.,Chief Judge,General District Court
Madison ,Theresa W. Carter,,General District Court
Madison ,Matthew J. Quatrara,,General District Court
Madison ,Kenneth Andrew Sneathern,,General District Court
Madison ,,,General District Court
Madison ,,,General District Court
Martinsville ,James R. McGarry,Chief Judge,General District Court
Martinsville ,Joan Ziglar,,General District Court
Martinsville ,,,General District Court
Mathews ,Stephanie E. Merritt,Presiding Judge,General District Court
Mathews ,Stephen Ashton Hudgins,Chief Judge,General District Court
Mathews ,Colleen K. Killilea,,General District Court
Mathews ,,,General District Court
Mecklenburg ,Calvin S. Spencer Jr.,Chief Judge,General District Court
Mecklenburg ,Jody H. Fariss,,General District Court
Mecklenburg ,Darrel W. Puckett,,General District Court
Mecklenburg ,,,General District Court
Middlesex ,Stephanie E. Merritt,Presiding Judge,General District Court
Middlesex ,Stephen Ashton Hudgins,Chief Judge,General District Court
Middlesex ,Colleen K. Killilea,,General District Court
Middlesex ,,,General District Court
Montgomery ,Gino W. Williams,"Presiding Judge, Chief Judge",General District Court
Montgomery ,Randal J. Duncan,Presiding Judge,General District Court
Montgomery ,J. D. Bolt,,General District Court
Montgomery ,Erin J. DeHart,,General District Court
Montgomery ,Gerald Eugene Mabe II,,General District Court
Montgomery ,,,General District Court
Nelson,Sam Daniel Eggleston,Chief Judge,General District Court
Nelson,Randy C. Krantz,,General District Court
Nelson,Stephanie S. Maddox,,General District Court
Nelson,,,General District Court
Nelson,,,General District Court
Nelson,,,General District Court
New Kent,Stephanie E. Merritt,Presiding Judge,General District Court
New Kent,Stephen Ashton Hudgins,Chief Judge,General District Court
New Kent,Colleen K. Killilea,,General District Court
New Kent,,,General District Court
Newport News,Matthew W. Hoffman,"Presiding Judge, Chief Judge",General District Court
Newport News,Charisse M. Mullen,Presiding Judge,General District Court
Newport News,Robert G. Saunders,Presiding Judge,General District Court
Newport News,Michael S. Stein,Presiding Judge,General District Court
Newport News,,,General District Court
Norfolk ,Robert B. Rigney,Chief Judge,General District Court
Norfolk ,Joan E. Mahoney,,General District Court
Norfolk ,Michael C. Rosenblum,,General District Court
Norfolk ,Tameeka M. Williams,,General District Court
Norfolk ,,,General District Court
Norfolk ,,,General District Court
Norfolk ,,,General District Court
Norfolk ,,,General District Court
Northampton ,Gordon S. Vincent,"Presiding Judge, Chief Judge",General District Court
Northampton ,,,General District Court
Northampton ,,,General District Court
Northampton ,,,General District Court
Northampton ,,,General District Court
Northampton ,,,General District Court
Northampton ,,,General District Court
Northumberland ,John S. Martin,"Presiding Judge, Chief Judge",General District Court
Northumberland ,David B. Caddell Jr.,,General District Court
Northumberland ,Hugh S. Campbell,,General District Court
Northumberland ,Richard T. McGrath,,General District Court
Northumberland ,Angela M. O'Connor,,General District Court
Northumberland ,Robert Eric Reibach,,General District Court
Northumberland ,Jane M. Reynolds,,General District Court
Northumberland ,,,General District Court
Northumberland ,,,General District Court
Northumberland ,,,General District Court
Northumberland ,,,General District Court
Nottoway ,Ray P. Lupold III,Chief Judge,General District Court
Nottoway ,Kenneth A. Blalock,,General District Court
Nottoway ,Thomas Stark IV,,General District Court
Orange ,Claiborne H. Stokes Jr.,Chief Judge,General District Court
Orange ,Theresa W. Carter,,General District Court
Orange ,Matthew J. Quatrara,,General District Court
Orange ,Kenneth Andrew Sneathern,,General District Court
Orange ,,,General District Court
Orange ,,,General District Court
Page ,W. Dale Houff,Presiding Judge,General District Court
Page ,John Stanley Hart Jr.,Chief Judge,General District Court
Page ,Mary Louise Costello Daniel,,General District Court
Page ,Amy B. Tisinger,,General District Court
Page ,,,General District Court
Page ,,,General District Court
Page ,,,General District Court
Page ,,,General District Court
Patrick ,Joan Ziglar,Presiding Judge,General District Court
Patrick ,James R. McGarry,Chief Judge,General District Court
Patrick ,,,General District Court
Petersburg ,Ray P. Lupold III,"Presiding Judge, Chief Judge",General District Court
Petersburg ,Kenneth A. Blalock,,General District Court
Petersburg ,Thomas Stark IV,,General District Court
Pittsylvania ,George A. Jones Jr.,"Presiding Judge, Chief Judge",General District Court
Pittsylvania ,Robert L Adams Jr.,,General District Court
Pittsylvania ,,,General District Court
Pittsylvania ,,,General District Court
Portsmouth ,Roxie O. Holder,"Presiding Judge, Chief Judge",General District Court
Portsmouth ,Douglas B. Ottinger,Presiding Judge,General District Court
Portsmouth ,,,General District Court
Portsmouth ,,,General District Court
Powhatan ,Thomas Stark IV,Presiding Judge,General District Court
Powhatan ,Ray P. Lupold III,Chief Judge,General District Court
Powhatan ,Kenneth A. Blalock,,General District Court
Prince Edward,Jody H. Fariss,Presiding Judge,General District Court
Prince Edward,Calvin S. Spencer Jr.,Chief Judge,General District Court
Prince Edward,Darrel W. Puckett,,General District Court
Prince Edward,,,General District Court
Prince George,Bruce A. Clark Jr.,"Presiding Judge, Chief Judge",General District Court
Prince George,Churchill Ridley Bain,,General District Court
Prince George,Elbert D. Mumphery,,General District Court
Prince George,Lyndia P. Ramsey,,General District Court
Prince George,Harold Lee Townsend III,,General District Court
Prince William,Robert P. Coleman,"Presiding Judge, Chief Judge",General District Court
Prince William,Wallace Semeon Covington III,Presiding Judge,General District Court
Prince William,William E. Jarvis,Presiding Judge,General District Court
Prince William,Che Christopher Rogers,Presiding Judge,General District Court
Prince William,Turkessa B. Rollins,Presiding Judge,General District Court
Prince William,,,General District Court
Pulaski ,Gino W. Williams,Chief Judge,General District Court
Pulaski ,J. D. Bolt,,General District Court
Pulaski ,Erin J. DeHart,,General District Court
Pulaski ,Randal J. Duncan,,General District Court
Pulaski ,Gerald Eugene Mabe II,,General District Court
Pulaski ,,,General District Court
Radford ,Erin J. DeHart,Presiding Judge,General District Court
Radford ,Gino W. Williams,Chief Judge,General District Court
Radford ,J. D. Bolt,,General District Court
Radford ,Randal J. Duncan,,General District Court
Radford ,Gerald Eugene Mabe II,,General District Court
Radford ,,,General District Court
Radford ,Jessica H. Foster,Presiding Judge,General District Court
Radford ,Deborah C. Welsh,Chief Judge,General District Court
Radford ,Matthew Parke Snow,,General District Court
Radford ,Lorrie Ann Sinclair Taylor,,General District Court
Radford ,,,General District Court
Richmond ,David M. Hicks,Chief Judge,General District Court
Richmond ,L. B. Cann III,,General District Court
Richmond ,Devika E. Davis,,General District Court
Richmond ,Mansi J. Shah,,General District Court
Richmond ,Tracy W. J. Thorne-Begland,,General District Court
Richmond ,,,General District Court
Richmond ,,,General District Court
Richmond County,John S. Martin,"Presiding Judge, Chief Judge",General District Court
Richmond County,David B. Caddell Jr.,,General District Court
Richmond County,Hugh S. Campbell,,General District Court
Richmond County,Richard T. McGrath,,General District Court
Richmond County,Angela M. O'Connor,,General District Court
Richmond County,Robert Eric Reibach,,General District Court
Richmond County,Jane M. Reynolds,,General District Court
Richmond County,,,General District Court
Richmond County,,,General District Court
Richmond County,,,General District Court
Richmond County,,,General District Court
Roanoke City,Francis W. Burkart III,Presiding Judge,General District Court
Roanoke City,Scott R. Geddes,Presiding Judge,General District Court
Roanoke City,Jacqueline F. Ward Talevi,Chief Judge,General District Court
Roanoke City,Thomas W. Roe Jr.,,General District Court
Roanoke City,,,General District Court
Roanoke County,Jacqueline F. Ward Talevi,"Presiding Judge, Chief Judge",General District Court
Roanoke County,Scott R. Geddes,Presiding Judge,General District Court
Roanoke County,Francis W. Burkart III,,General District Court
Roanoke County,Thomas W. Roe Jr.,,General District Court
Roanoke County,,,General District Court
Rockbridge ,William Harrison Cleaveland,Chief Judge,General District Court
Rockbridge ,Christopher M. Billias,,General District Court
Rockbridge ,Robin J. Mayer,,General District Court
Rockbridge ,Rupen R. Shah,,General District Court
Rockbridge ,,,General District Court
Rockbridge ,,,General District Court
Russell ,Henry A. Barringer,Presiding Judge,General District Court
Russell ,George Robert Brittain,Chief Judge,General District Court
Russell ,,,General District Court
Russell ,,,General District Court
Russell ,,,General District Court
Salem ,Jacqueline F. Ward Talevix,"Presiding Judge, Chief Judge",General District Court
Salem ,Francis W. Burkart III,,General District Court
Salem ,Scott R. Geddes,,General District Court
Salem ,Thomas W. Roe Jr.,,General District Court
Salem ,,,General District Court
Scott ,Shawn L Hines,Chief Judge,General District Court
Scott ,Andrew L. Johnson,,General District Court
Scott ,,,General District Court
Scott ,,,General District Court
Shenandoah ,Amy B. Tisinger,Presiding Judge,General District Court
Shenandoah ,John Stanley Hart Jr.,Chief Judge,General District Court
Shenandoah ,Mary Louise Costello Daniel,,General District Court
Shenandoah ,W. Dale Houff,,General District Court
Shenandoah ,,,General District Court
Shenandoah ,,,General District Court
Shenandoah ,,,General District Court
Shenandoah ,,,General District Court
Smyth ,Eric R. Thiessen,Chief Judge,General District Court
Smyth ,Robert L. Hobbs,,General District Court
Smyth ,Travis B. Lee,,General District Court
Smyth ,,,General District Court
Southampton ,Alfred W. Bates III,Chief Judge,General District Court
Southampton ,Nicole A. Belote,,General District Court
Southampton ,Helivi L. Holland,,General District Court
Southampton ,,,General District Court
Spotsylvania ,Richard T. McGrath,Presiding Judge,General District Court
Spotsylvania ,"John S. Martin, Chief Judge",,General District Court
Spotsylvania ,David B. Caddell Jr.,,General District Court
Spotsylvania ,Hugh S. Campbell,,General District Court
Spotsylvania ,Angela M. O'Connor,,General District Court
Spotsylvania ,Robert Eric Reibach,,General District Court
Spotsylvania ,Jane M. Reynolds,,General District Court
Spotsylvania ,,,General District Court
Spotsylvania ,,,General District Court
Spotsylvania ,,,General District Court
Spotsylvania ,,,General District Court
Stafford ,Angela M. O'Connor,Presiding Judge,General District Court
Stafford ,John S. Martin,Chief Judge,General District Court
Stafford ,David B. Caddell Jr.,,General District Court
Stafford ,Hugh S. Campbell,,General District Court
Stafford ,Richard T. McGrath,,General District Court
Stafford ,Robert Eric Reibach,,General District Court
Stafford ,Jane M. Reynolds,,General District Court
Stafford ,,,General District Court
Stafford ,,,General District Court
Stafford ,,,General District Court
Stafford ,,,General District Court
Staunton ,William Harrison Cleaveland,Chief Judge,General District Court
Staunton ,Christopher M. Billias,,General District Court
Staunton ,Robin J. Mayer,,General District Court
Staunton ,Rupen R. Shah,,General District Court
Staunton ,,,General District Court
Staunton ,,,General District Court
Suffolk ,Alfred W. Bates III,"Presiding Judge, Chief Judge",General District Court
Suffolk ,Nicole A. Belote,,General District Court
